date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:06	551/551	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:03%20GMT	https://www.technex.in/robots.txt		(from )
14:49:06	107698/107698	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:04%20GMT	https://www.technex.in/	D:/@WEB/!!technix/technix/www.technex.in/index.html	(from )
14:49:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:05%20GMT	http://www.technex.in/static/css/images/img-fb.jpg	D:/@WEB/!!technix/technix/www.technex.in/static/css/images/img-fb.0.delayed	(from https://www.technex.in/)
14:49:08	88623/88623	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Feb%202019%2012:08:08%20GMT	https://www.technex.in/static/css/images/img-fb.jpg	D:/@WEB/!!technix/technix/www.technex.in/static/css/images/img-fb.jpg	(from https://www.technex.in/)
14:49:08	13897/13897	---M--	200	added ('OK')	image/png	etag:%22c9ebdf3ccb24f659b1bda6735efcd5cf%22	https://d1mteuyxkcon0n.cloudfront.net/index19/images19/apple-touch-icon.png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/images19/apple-touch-icon.png	(from https://www.technex.in/)
14:49:09	1697/1697	---M--	200	added ('OK')	image/png	etag:%22c2653e90723f3a06231ceddd97e207f2%22	https://d1mteuyxkcon0n.cloudfront.net/index19/images19/favicon-32x32.png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/images19/favicon-32x32.png	(from https://www.technex.in/)
14:49:09	1197/1197	---M--	200	added ('OK')	image/png	etag:%22da211c707b2ef5198aba1f0926b72c09%22	https://d1mteuyxkcon0n.cloudfront.net/index19/images19/favicon-16x16.png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/images19/favicon-16x16.png	(from https://www.technex.in/)
14:49:10	838/838	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:08%20GMT	https://www.technex.in/img/favicon/browserconfig.xml	D:/@WEB/!!technix/technix/www.technex.in/img/favicon/browserconfig.html	(from https://www.technex.in/)
14:49:10	2481/2481	---M--	200	added ('OK')	text/css	etag:%222d73b327a359534f570d2a1877b64a57%22	https://d1mteuyxkcon0n.cloudfront.net/index19/style/style119.css	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/style/style119.css	(from https://www.technex.in/)
14:49:12	192368/192368	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2012:08:05%20GMT	https://www.technex.in/static/index19/style/style219.css	D:/@WEB/!!technix/technix/www.technex.in/static/index19/style/style219.css	(from https://www.technex.in/)
14:49:12	4735/4735	---M-Z	200	added ('OK')	text/css	etag:W/%22f954b3ce94b3d43d93673f9837b1b7b4%22	https://res.cloudinary.com/vivekisgreat/raw/upload/v1545888000/technex/tingle.css	D:/@WEB/!!technix/technix/res.cloudinary.com/vivekisgreat/raw/upload/v1545888000/technex/tingle.css	(from https://www.technex.in/)
14:49:16	95786/95786	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	D:/@WEB/!!technix/technix/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from https://www.technex.in/)
14:49:16	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	D:/@WEB/!!technix/technix/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://www.technex.in/)
14:49:17	146206/146206	---M--	200	added ('OK')	image/png	etag:%22dffbea6a30c5a196edcdbf822ea3f45c%22	https://d1mteuyxkcon0n.cloudfront.net/index19/logo-technex-nav.png	D:/@WEB/!!technix/technix/d1mteuyxkcon0n.cloudfront.net/index19/logo-technex-nav.png	(from https://www.technex.in/)
14:49:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:15%20GMT	https://www.technex.in/events	D:/@WEB/!!technix/technix/www.technex.in/events	(from https://www.technex.in/)
14:49:18	185907/185907	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:16%20GMT	https://www.technex.in/events/	D:/@WEB/!!technix/technix/www.technex.in/events/index.html	(from https://www.technex.in/)
14:49:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:16%20GMT	https://www.technex.in/talks	D:/@WEB/!!technix/technix/www.technex.in/talks	(from https://www.technex.in/)
14:49:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:17%20GMT	https://www.technex.in/workshops	D:/@WEB/!!technix/technix/www.technex.in/workshops	(from https://www.technex.in/)
14:49:20	112942/112942	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:17%20GMT	https://www.technex.in/talks/	D:/@WEB/!!technix/technix/www.technex.in/talks/index.html	(from https://www.technex.in/)
14:49:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:18%20GMT	https://www.technex.in/exhibitions	D:/@WEB/!!technix/technix/www.technex.in/exhibitions.f.delayed	(from https://www.technex.in/)
14:49:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Feb%202019%2009:19:19%20GMT	https://www.technex.in/startupfair	D:/@WEB/!!technix/technix/www.technex.in/startupfair	(from https://www.technex.in/)
14:49:21	399834/399834	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Feb%202019%2009:19:18%20GMT	https://www.technex.in/workshops/	D:/@WEB/!!technix/technix/www.technex.in/workshops/index.html	(from https://www.technex.in/)
